city,comments,name,prices,quality_price,rating,stars,heredados,acceso/comunicacion,entretenimiento/deporte,inclusion,ninios,comida/bebida
Centro Tulum,308,Harmony Glamping Boutique Hotel and Yoga,686,7.8,8.1,3,0,1,1,0,1,0
Centro Tulum,293,Villas H2O,2037,8.9,9.0,3,0,1,1,1,1,1
Centro Tulum,55,Lo Nuestro Petit Hotel Tulum,848,8.0,7.6,3,0,1,1,0,0,0
Centro Tulum,291,Mundo Maya,796,8.6,8.4,3,0,1,1,0,1,1
Centro Tulum,92,Karen's Hotel Tulum,1292,6.1,5.8,0,0,1,1,0,1,0
Centro Tulum,1.076,Ruta Del Sol,596,7.6,7.3,3,0,1,1,0,1,0
Centro Tulum,775,WishTulum,1085,8.3,8.3,3,0,1,1,0,0,1
Centro Tulum,290,Zendero Tulum,1285,8.0,7.9,4,0,1,1,0,1,1
Chuburná,31,Hotel Chuburna,681,8.4,8.5,3,0,1,1,0,1,1
Compostela,3,Hostalito La Vista de Compostela,807,8.3,8.7,0,0,1,0,0,1,1
Compostela,64,JARDIN DE ESTRELLAS,850,9.3,9.4,4,0,1,1,0,1,1
El Pescadero,80,Casitas El Salitral By Rotamundos,1373,8.8,8.8,0,1,1,1,1,1,1
El Pescadero,12,Cerritos Surf Residences,5155,8.8,8.8,4,1,1,1,0,1,1
El Pescadero,264,Cerritos Surf Town Beach Front Hotel,3096,8.1,8.5,3,1,1,1,1,1,1
El Pescadero,146,Cerritos Beach Inn,3209,8.2,8.5,0,1,1,1,1,1,1
El Pescadero,219,Olas de Cerritos,2703,9.1,9.1,3,0,0,1,0,1,0
Isla Aguada,235,"Freedom Shores ""La Gringa"" Hotel - Universally Designed",990,7.7,8.0,3,1,1,1,1,1,1
Isla Mujeres,224,Suites Los Arcos,1305,8.6,8.5,3,0,0,1,0,1,1
Isla Mujeres,82,Casa Wandy,1019,7.6,7.4,3,0,0,1,0,0,1
Isla Mujeres,140,Nautibeach Beach Front Condos in North Beach,4164,8.8,9.1,3,1,1,1,0,1,1
Isla Mujeres,70,Casa Coco by Coco B Isla,6275,8.9,9.4,0,1,1,1,0,1,1
Isla Mujeres,362,Na Balam Hotel,3451,7.6,8.2,4,0,1,1,1,1,1
Isla Mujeres,335,Suite Isla Mujeres,1291,8.9,8.7,4,1,1,1,0,1,1
Isla Mujeres,37,Hotel Marcianito,896,7.0,6.9,2,0,1,1,0,1,0
Isla Mujeres,247,Hotel Francis Arlene Adults Only,1575,7.9,7.9,3,1,1,1,0,0,0
Isla Mujeres,295,Cabanas Maria Del Mar,2052,7.1,7.2,3,1,1,1,0,1,1
Isla Mujeres,529,Hotel Posada del Mar,2344,6.9,7.0,3,1,1,1,1,1,1
Isla Mujeres,325,Posada Paso Del Sol,714,8.8,8.7,0,0,0,1,0,0,1
Isla Mujeres,54,Xbulu-Ha,1148,8.0,8.2,2,0,1,1,0,1,1
Isla Mujeres,48,Kay Apartments,1500,8.9,8.8,3,1,1,1,0,0,1
Isla Mujeres,464,Casa Barco Hotel Boutique,1805,9.3,9.3,0,0,1,1,0,1,1
Isla Mujeres,210,Imperla Hotel,1985,9.1,9.2,3,0,1,1,0,0,1
Isla Mujeres,132,Casa de los Sueños Hotel Boutique,3492,8.7,9.0,5,0,1,1,0,1,1
Isla Mujeres,233,Icaco Island Village - Adults Only,2869,7.8,8.4,4,1,1,1,0,0,1
Isla Mujeres,41,Casa de la paz,1084,8.6,8.3,3,1,1,1,0,1,1
Isla Mujeres,483,Bahia Chac Chi - Adults Only,1709,8.0,8.0,4,1,1,1,1,1,1
Isla Mujeres,80,La Famiglia,1165,7.4,7.2,0,0,1,1,0,1,0
Isla Mujeres,5,"Fifth Element House, Earth! Lujoso y Confortable Hogar Isleño!",2351,8.5,8.6,0,1,1,1,1,0,1
Isla Mujeres,267,Hotel D Gomar,900,8.0,7.9,3,1,1,1,0,0,1
Isla Mujeres,141,Hotel Paradise Suites,2850,7.5,7.9,4,0,1,1,0,0,1
Isla Mujeres,14,Habitación Amanecer Turquesa #6,1594,9.1,9.1,0,1,0,1,0,0,0
Isla Mujeres,87,Casitas Arcoiris,1295,7.5,7.9,3,1,1,1,0,0,1
Isla Mujeres,9,Sayil Hotel Boutique,952,8.1,6.8,0,0,1,1,0,1,1
Isla Mujeres,363,Mia Reef Isla Mujeres Cancun All Inclusive Resort,10726,7.6,8.3,4,1,1,1,1,1,1
Isla Mujeres,124,Hotel Boutique Skulls Landing,1515,8.1,7.8,3,0,1,1,0,0,1
Isla Mujeres,97,Hotel Isleño,1683,7.8,8.0,3,0,1,1,0,1,1
Isla Mujeres,1.203,Les trois singes - Friendly Hostel,1445,7.9,7.8,0,0,1,1,0,0,1
Isla Mujeres,364,Hotel Villa Kiin,2490,7.3,7.4,3,1,1,1,0,1,0
Isla Mujeres,468,Bahia Tolok,2302,8.5,8.6,4,1,1,1,1,1,1
Isla Mujeres,20,Casa Alkimia Oceanfront,4981,10,10.0,4,1,1,1,0,1,1
Isla Mujeres,573,Hotel Playa La Media Luna,2689,7.5,7.9,4,1,1,1,0,1,1
Isla Mujeres,136,Hotel Ma Elena,800,8.0,7.7,0,1,1,1,0,1,0
Isla Mujeres,384,Hotel Boutique Kinich,1890,8.3,8.2,4,0,1,1,0,0,1
Isla Mujeres,320,Casa Azul Maya,2375,9.0,9.0,3,0,1,1,1,1,1
Isla Mujeres,3.573,Nomads Hotel & Beachclub,2887,8.6,8.8,3,1,1,1,0,0,1
Isla Mujeres,640,Hotel La Joya Isla Mujeres,2590,8.7,9.0,4,1,1,1,0,1,1
Isla Mujeres,233,Hotel Secreto,4306,8.8,9.3,5,1,1,1,1,1,0
Isla Mujeres,154,Sol Caribe,1248,8.1,7.9,3,0,0,1,0,0,0
Isla Mujeres,625,Ocean Drive Hotel,986,7.3,7.3,0,0,1,1,1,1,1
Isla Mujeres,91,Casa del Jaguar Beach Hotel,7545,7.7,8.4,5,1,1,1,0,1,1
Isla Mujeres,375,"El Malecon, Central Mini Apartments",800,7.9,7.8,3,0,0,1,1,1,1
Isla Mujeres,49,Maria's Kan Kin,2712,7.0,7.6,3,1,1,1,1,1,1
Isla Mujeres,1.091,Isla Caracol,1338,8.2,8.1,3,0,1,1,0,1,0
Isla Mujeres,467,Itzé Hostel,888,8.3,8.2,0,1,1,0,0,1,1
Isla Mujeres,589,Suites Lorens,1291,8.5,8.4,3,1,1,1,0,0,1
Isla Mujeres,274,Villas Coco Resort - All Suites,1306,8.5,8.4,3,0,1,1,0,0,1
Isla Mujeres,393,Hotel Bucaneros Isla Mujeres,1373,8.1,8.2,3,0,1,0,0,1,1
Isla Mujeres,665,Selina Poc Na Isla Mujeres,1785,7.0,7.6,3,1,1,1,0,0,1
Isla Mujeres,229,Hotel Plaza Almendros,1116,7.6,7.5,3,0,1,1,0,0,1
Isla Mujeres,1.138,Izla Beach Front Hotel,4225,8.6,8.8,5,1,1,1,1,0,1
Isla Mujeres,315,Hotel Berny,1445,7.7,7.8,3,0,1,1,1,0,1
Isla Mujeres,499,Hotel Beló Isla Mujeres,3254,7.9,8.1,5,1,1,1,1,1,1
Isla Mujeres,462,Cuxos Hotel Beachfront,1796,7.6,7.7,4,1,1,1,1,1,1
Isla Mujeres,644,Privilege Aluxes Adults Only,5294,8.0,8.6,5,1,1,1,1,0,1
