,city,comments,name,prices,quality_price,rating,services,stars,id,rank
1207,Bacalar,1,Siete Azules del Cielo Hostal especializado,,0.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Actividades infantiles (Ideal para niños / familias) # Hotel para no fumadores # Aire acondicionado # Estante para la ropa # TV pantalla plana # Productos de tocador de cortesía,0,146,141
1208,Bacalar,5,Hotel Puerta Del Cielo Hotel especializado,,0.0,3.5,,0,147,142
1209,Bacalar,3,Cabanas Maria's,,0.0,3.5,,0,148,143
1210,Bacalar,1,Lagon Bleu Bacalar Hostal especializado,,0.0,5.0,,0,149,144
1211,Bacalar,1,Casitas Bacalar Alojamiento,,0.0,5.0,,0,150,145
1212,Bacalar,6,Las Velas Bacalar Hotel especializado,,0.0,3.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Bar/Salón # Playa # Alquiler de bicicletas # Guardería # Alquiler de autos # Masaje # Playa privada # Servicio a la habitación # Botellas de agua # Kitchenette # Habitaciones para familias,0,151,146
1213,Bacalar,2,La Fortuna,,0.0,5.0,,0,152,147
1204,Bacalar,2,La Casa De Los Ninos Del Arbol B & B,,0.0,5.0,Estacionamiento gratis # Clases de yoga # Excursionismo # Actividades infantiles (Ideal para niños / familias) # Masaje de pies # Hotel para no fumadores # Muebles de exterior # Servicio de planchado # Servicio de limpieza # Kitchenette # Bañera/Ducha # Habitaciones para familias,0,153,148
1237,Bacalar,1,Hostal Las Palmas,,0.0,5.0,Red para mosquitos # Escritorio # Bañera/Ducha,0,154,149
1240,Bacalar,1,Hotel Khaban,,0.0,2.0,,0,155,150
1239,Bacalar,3,Taanah Maya,,0.0,1.0,Actividades infantiles (Ideal para niños / familias),0,156,151
1214,Bacalar,16,K'iin Yeetel Ha Cabanas,,0.0,3.5,Estacionamiento público gratuito cercano # Cafetería # Actividades infantiles (Ideal para niños / familias) # Hotel para no fumadores # Check-in y check-out privado # Servicio de limpieza # Sala de estar # Botellas de agua # Minibar # Bañera/Ducha # Productos de tocador de cortesía,0,157,152
1265,Bacalar,128,Hotelito El Paraiso,,4.0,3.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Playa # Hotel para no fumadores # Aire acondicionado # Refrigerador # Habitaciones para no fumadores,0,158,153
1267,Bacalar,4,Hotel Xcabal,,0.0,5.0,,0,159,154
