city_ta,comments_ta,name,prices_ta,quality_price_ta,rating_ta,stars_ta,rank_ta,heredados_ta,total_heredados_ta,acceso/comunicacion_ta,total_acceso/comunicacion_ta,entretenimiento/deporte_ta,total_entretenimiento/deporte_ta,ninios_ta,total_ninios_ta,comida/bebida_ta,total_comida/bebida_ta,comments_bk,prices_bk,quality_price_bk,rating_bk,stars_bk,rank_bk,heredados_bk,total_heredados_bk,acceso/comunicacion_bk,total_acceso/comunicacion_bk,entretenimiento/deporte_bk,total_entretenimiento/deporte_bk,inclusion,total_inclusion,ninios_bk,total_ninios_bk,comida/bebida_bk,total_comida/bebida_bk
Isla Mujeres,23,Posada Paso Del Sol,644.0,4.0,4.0,0.0,8,0,0,1,1,0,0,1,1,1,2,325.0,714,8.8,8.7,0,43,0,0,0,0,1,4,0,0,0,0,1,1
Isla Mujeres,77,Suites Los Arcos,,4.5,4.0,2.0,11,0,0,1,2,0,0,1,1,1,3,224.0,1305,8.6,8.5,3,31,0,0,0,0,1,3,0,0,1,1,1,1
Isla Mujeres,131,Hotel Isleño,1546.0,4.5,4.0,3.0,14,0,0,1,2,1,1,1,1,1,1,97.0,1683,7.8,8.0,3,2,0,0,1,3,1,6,0,0,1,2,1,1
Isla Mujeres,286,Xbulu-Ha,1269.0,4.5,4.0,2.0,17,0,0,1,2,1,1,0,0,1,3,54.0,1148,8.0,8.2,2,42,0,0,1,1,1,5,0,0,1,1,1,1
Isla Mujeres,5280,Mia Reef Isla Mujeres Cancun All Inclusive Resort,,4.0,4.0,5.0,20,1,3,1,2,1,5,1,2,1,2,363.0,10726,7.6,8.3,4,11,1,2,1,5,1,7,1,3,1,2,1,3
Isla Mujeres,189,Hotel Beló Isla Mujeres,,4.5,4.0,5.0,29,1,1,1,2,1,3,1,1,1,1,499.0,3254,7.9,8.1,5,56,1,2,1,7,1,6,1,1,1,2,1,2
Isla Mujeres,807,Izla Beach Front Hotel,,4.5,4.5,4.0,31,1,3,1,2,1,3,1,2,1,2,1.138,4225,8.6,8.8,5,63,1,2,1,4,1,4,1,1,0,0,1,3
Isla Mujeres,62,Casa Coco by Coco B Isla,,5.0,5.0,4.0,40,1,2,1,2,1,2,1,2,1,2,70.0,6275,8.9,9.4,0,52,1,3,1,4,1,4,0,0,1,1,1,1
Isla Mujeres,73,Isla Caracol,,4.0,3.5,0.0,60,0,0,1,2,1,2,1,1,1,1,1.091,1338,8.2,8.1,3,23,0,0,1,2,1,2,0,0,1,1,0,0
Isla Mujeres,1019,Na Balam Hotel,3048.0,3.5,3.5,3.5,61,1,2,1,1,1,1,0,0,1,1,362.0,3451,7.6,8.2,4,59,0,0,1,5,1,7,1,1,1,2,1,2
Isla Mujeres,100,Icaco Island Village - Adults Only,,4.5,4.5,3.0,66,0,0,1,2,1,2,1,1,1,3,233.0,2869,7.8,8.4,4,29,1,1,1,7,1,11,0,0,0,0,1,6
Isla Mujeres,845,Cabañas Maria Del Mar,,3.5,3.5,3.0,70,1,2,1,2,1,1,1,1,1,2,295.0,2052,7.1,7.2,3,55,1,3,1,3,1,6,0,0,1,1,1,1
Isla Mujeres,398,Hotel Villa Kiin,,3.5,3.5,3.0,71,1,2,1,2,0,0,0,0,1,1,364.0,2490,7.3,7.4,3,37,1,4,1,4,1,8,0,0,1,2,0,0
Isla Mujeres,153,Villas Coco Resort - All Suites,,4.0,4.0,3.0,73,0,0,1,2,1,2,0,0,1,3,274.0,1306,8.5,8.4,3,62,0,0,1,5,1,2,0,0,0,0,1,1
Isla Mujeres,7,Ocean Drive Hotel,,0.0,2.5,3.0,79,1,1,1,1,1,1,0,0,0,0,625.0,986,7.3,7.3,0,33,0,0,1,6,1,2,1,2,1,2,1,1
