city,comments,name,prices,quality_price,rating,stars,id,rank,heredados,total_heredados,acceso/comunicacion,total_acceso/comunicacion,entretenimiento/deporte,total_entretenimiento/deporte,ninios,total_ninios,comida/bebida,total_comida/bebida
Bacalar,2,Casa Coral Alojamiento,,0.0,5.0,0,275,270,0,0,1,2,0,0,0,0,0,0
Bacalar,7,Villas Karalv,,5.0,5.0,0,276,271,1,1,0,0,0,0,1,1,1,1
Isla Aguada,9,Freedom Shores,,3.0,4.0,3.0,332,2,1,1,1,2,0,0,1,2,1,2
Isla Aguada,34,Cabañas Laguna Complejo turístico especializado,,4.0,4.0,4.0,333,3,1,1,1,2,1,1,1,2,1,2
Isla Aguada,2,Hotel Piñera Alojamiento,,0.0,3.0,0,334,4,0,0,0,0,0,0,1,1,0,0
Isla Aguada,8,Iguana´s Cabaña Complejo turístico especializado,,0.0,5.0,0,338,8,0,0,0,0,1,1,1,2,1,2
Isla Mujeres,66,Casa Bonita and Villas Casa de alquiler,,4.5,4.5,0,341,1,1,1,1,1,1,1,1,2,1,3
Isla Mujeres,33,Maya Casitas Hostal especializado,,4.0,4.5,0,342,2,0,0,1,2,0,0,1,1,1,2
Isla Mujeres,90,Capital O Chac Chi Hotel & Suites,,4.5,4.0,0,343,3,1,1,1,3,1,2,1,2,1,3
Isla Mujeres,18,Villa Elena Isla Mujeres Apartamento,,4.5,4.0,2.5,344,4,0,0,1,2,0,0,1,1,1,1
Isla Mujeres,10,Ikal Island Garden Alojamiento,,0.0,5.0,0,345,5,0,0,0,0,0,0,0,0,0,0
Isla Mujeres,175,Francis Arlene Hotel,1575.0,4.0,3.5,2.0,346,6,0,0,1,2,1,1,0,0,1,2
Isla Mujeres,4165,Privilege Aluxes Resort (todo incluido),,4.5,4.5,5.0,347,7,1,2,1,2,1,3,0,0,1,2
Isla Mujeres,23,Posada Paso Del Sol Hostal especializado,644.0,4.0,4.0,0,348,8,0,0,1,1,0,0,1,1,1,2
